Fyr	AUS	CAN	CHN	DEU	FRA	GBR	HKG	IDN	JPN	KOR	MYS	NZL	PHL	SGP	THA	TWN
1989	75	72		33	89	423	56		158		33	2	2	21	2	
1990	97	207		53	132	538	70		242	14	28	5	10	25	18	
1991	56	238		50	182	502	84		279	62	66	19	5	33	16	
1992	90	234		58	182	568	107	19	296	25	94	34	12	39	28	6
1993	116	235		75	216	603	103	52	305	40	99	35	23	42	90	57
1994	137	231		117	228	673	135	53	324	81	122	38	28	47	115	91
1995	132	274	28	96	200	729	151	68	318	455	129	45	37	56	173	158
1996	192	270	26	28	253	907	171	45	330	408	152	60	34	71	274	100
1997	5	26	14	51	27	63	28	30	50	137	34	4	33	8	75	29
1998	179	339	54	111	242	657	169	51	643	357	147	51	59	69	67	144
1999	188	359	60	98	249	700	175	52	1356	300	172	51	47	69	63	150
2000	186	343	47			658	155	42	1459	309	147	41	44	64	56	188
2001	179	307	47	133	227	633	131	37	1520	297	125	41	41	63	52	180
2002	213	310	48	177	248	522	148	55	897	208	121	38	37	56	52	135
2003	244	301	6	174	249	484	139	49	820	155	114	39	31	64	50	109
2004	199	305	3	132	233	448	143	42	854	49	116	43	27	61	61	72
2005	204	396	56	134	232	438	173	39	813	43	115	44	26	61	97	83
2006	223	432	115	147	239	490	201	50	743	47	143	43	21	91	128	101
2007	240	443	141	153	236	534	207	50	710	59	149	42	27	83	131	102
2008	246	514	233	155	260	568	236	56	763	57	163	47	30	101	129	123
2009	268	492	339	163	272	566	199	53	781	53	185	51	28	95	92	101
2010	261	346	426	156	276	534	151	49	723	46	200	47	31	89	85	99
2011	246	476	544	152	258	532	159	50	715	50	179	47	29	94	89	105
2012	244	463	698	156	255	530	156	63	697	84	158	45	34	98	90	102
2013	246	522	779	159	243	526	167	59	648	148	167	41	37	95	82	124
2014	231	487	753	160	230	502	169	67	647	173	168	44	42	94	91	131
2015	221	483	725	169	231	478	175	82	687	245	174	43	44	99	102	160
2016	215	444	737	159	236	472	154	82	712	279	168	43	41	94	95	148
2017	213	419	575	140	174	293	187	71	701	335	182	44	27	92	113	154
